Time,area_km2,elevation_m,changed_storage_mcm
2016-01-31,0.01,2095.3,0.02
2016-02-29,0.0,2093.6,0.01
2016-03-31,0.01,2097.4,0.04
2016-04-30,0.01,2096.9,0.04
2016-05-31,0.01,2095.8,0.03
2016-06-30,0.01,2094.9,0.02
2016-07-31,0.01,2095.0,0.02
2016-08-31,0.01,2095.1,0.02
2016-09-30,0.01,2095.2,0.02
2016-10-31,0.01,2095.3,0.02
2016-11-30,0.01,2096.9,0.04
2016-12-31,0.01,2095.8,0.03
2017-01-31,0.01,2094.9,0.02
2017-02-28,0.01,2096.0,0.03
2017-03-31,0.01,2097.4,0.04
2017-04-30,0.01,2094.9,0.02
2017-05-31,0.01,2095.3,0.02
2017-06-30,0.01,2095.7,0.03
2017-07-31,0.01,2096.0,0.03
2017-08-31,0.01,2096.5,0.03
2017-09-30,0.01,2096.9,0.04
2017-10-31,0.01,2097.4,0.04
2017-11-30,0.01,2098.0,0.05
2017-12-31,0.01,2097.4,0.04
2018-01-31,0.01,2097.4,0.04
2018-02-28,0.01,2096.0,0.03
2018-03-31,0.0,2092.1,0.01
2018-04-30,0.01,2094.4,0.02
2018-05-31,0.01,2095.3,0.02
2018-06-30,0.01,2096.0,0.03
2018-07-31,0.01,2096.9,0.04
2018-08-31,0.01,2096.3,0.03
2018-09-30,0.01,2095.8,0.03
2018-10-31,0.01,2095.3,0.02
2018-11-30,0.01,2096.9,0.04
2018-12-31,0.01,2096.5,0.03
2019-01-31,0.01,2096.9,0.04
2019-02-28,0.01,2096.5,0.03
2019-03-31,0.01,2096.5,0.03
2019-04-30,0.01,2096.5,0.03
2019-05-31,0.01,2096.5,0.03
2019-06-30,0.01,2095.8,0.03
2019-07-31,0.01,2095.3,0.02
2019-08-31,0.01,2095.5,0.02
2019-09-30,0.01,2095.7,0.03
2019-10-31,0.01,2094.9,0.02
2019-11-30,0.01,2095.7,0.03
2019-12-31,0.01,2096.0,0.03
2020-01-31,0.01,2096.9,0.04
2020-02-29,0.01,2095.7,0.03
2020-03-31,0.01,2095.7,0.03
2020-04-30,0.01,2096.0,0.03
2020-05-31,0.01,2096.0,0.03
2020-06-30,0.01,2096.0,0.03
2020-07-31,0.01,2099.3,0.07
2020-08-31,0.01,2095.7,0.03
2020-09-30,0.01,2096.0,0.03
2020-10-31,0.01,2096.5,0.03
2020-11-30,0.01,2096.0,0.03
2020-12-31,0.01,2097.4,0.04
2021-01-31,0.01,2098.0,0.05
2021-02-28,0.01,2098.0,0.05
2021-03-31,0.01,2099.3,0.07
2021-04-30,0.01,2096.9,0.04
2021-05-31,0.01,2096.9,0.04
2021-06-30,0.01,2096.5,0.03
2021-07-31,0.01,2096.9,0.04
2021-08-31,0.01,2095.7,0.03
2021-09-30,0.01,2096.5,0.03
2021-10-31,0.01,2096.9,0.04
2021-11-30,0.01,2096.5,0.03
2021-12-31,0.01,2098.4,0.05
2022-01-31,0.01,2096.9,0.04
2022-02-28,0.01,2097.4,0.04
2022-03-31,0.01,2096.5,0.03
2022-04-30,0.01,2097.4,0.04
2022-05-31,0.01,2095.3,0.02
2022-06-30,0.01,2096.5,0.03
2022-07-31,0.01,2098.0,0.05
2022-08-31,0.01,2094.4,0.02
2022-09-30,0.01,2096.5,0.03
2022-10-31,0.01,2096.7,0.03
2022-11-30,0.01,2096.9,0.04
2022-12-31,0.01,2096.9,0.04
2023-01-31,0.01,2098.8,0.06
2023-02-28,0.01,2096.0,0.03
2023-03-31,0.01,2096.9,0.04
2023-04-30,0.01,2099.3,0.07
2023-05-31,0.01,2096.9,0.04
2023-06-30,0.01,2097.4,0.04
2023-07-31,0.01,2096.0,0.03
2023-08-31,0.01,2095.3,0.02
2023-09-30,0.01,2096.0,0.03
2023-10-31,0.01,2096.9,0.04
2023-11-30,0.01,2096.9,0.04
2023-12-31,0.01,2096.5,0.03
2024-01-31,0.01,2096.9,0.04
2024-02-29,0.01,2097.4,0.04
2024-03-31,0.01,2096.9,0.04
2024-04-30,0.01,2098.0,0.05
2024-05-31,0.01,2096.5,0.03
2024-06-30,0.01,2095.9,0.03
2024-07-31,0.01,2095.4,0.02
2024-08-31,0.01,2094.9,0.02
2024-09-30,0.01,2094.9,0.02
2024-10-31,0.01,2095.3,0.02
2024-11-30,0.01,2095.7,0.03
2024-12-31,0.01,2096.9,0.04
2025-01-31,0.01,2096.0,0.03
2025-02-28,0.01,2095.7,0.03
2025-03-31,0.01,2096.5,0.03
2025-04-30,0.01,2098.4,0.05
2025-05-31,0.01,2096.5,0.03
